tweet-id,class
32,NewYork
33,NewYork
34,NewYork
35,NewYork
36,NewYork
37,NewYork
38,NewYork
39,NewYork
40,NewYork
41,NewYork
42,NewYork
43,NewYork
44,NewYork
45,NewYork
46,NewYork
47,NewYork
48,NewYork
49,NewYork
50,NewYork
51,NewYork
52,NewYork
53,NewYork
54,NewYork
55,NewYork
56,NewYork
57,NewYork
58,NewYork
115,NewYork
116,NewYork
117,NewYork
118,NewYork
119,NewYork
120,NewYork
121,NewYork
122,NewYork
123,NewYork
124,NewYork
125,NewYork
126,NewYork
127,NewYork
128,NewYork
129,NewYork
130,NewYork
131,NewYork
132,NewYork
133,NewYork
134,NewYork
214,NewYork
215,NewYork
216,NewYork
217,NewYork
218,NewYork
219,NewYork
220,NewYork
221,NewYork
222,NewYork
223,NewYork
224,NewYork
225,NewYork
226,NewYork
227,NewYork
228,NewYork
229,NewYork
230,NewYork
231,NewYork
232,NewYork
233,NewYork
234,NewYork
260,California
261,California
262,California
263,California
264,California
265,California
266,California
267,California
268,California
269,California
270,California
271,California
272,California
273,California
274,California
275,California
276,California
277,California
278,California
279,California
280,California
281,California
282,California
283,California
284,California
285,California
286,California
287,California
288,California
289,California
290,California
291,California
292,California
293,California
294,California
295,California
296,California
297,California
298,California
299,California
300,California
301,California
302,California
303,California
304,California
305,California
306,California
307,California
308,California
309,California
310,California
311,California
312,California
313,California
314,California
315,California
316,California
317,California
318,California
319,California
320,California
321,California
322,California
323,California
324,California
325,California
326,California
327,California
328,California
329,NewYork
330,NewYork
331,NewYork
332,NewYork
333,NewYork
334,NewYork
335,NewYork
336,NewYork
337,NewYork
338,NewYork
339,NewYork
340,NewYork
341,NewYork
342,NewYork
343,NewYork
344,NewYork
345,NewYork
346,NewYork
347,NewYork
348,NewYork
349,NewYork
350,NewYork
351,NewYork
352,NewYork
353,NewYork
354,NewYork
355,NewYork
356,NewYork
357,NewYork
358,NewYork
359,NewYork
360,NewYork
361,NewYork
362,NewYork
363,NewYork
364,NewYork
365,NewYork
366,NewYork
367,NewYork
368,NewYork
369,NewYork
370,NewYork
371,NewYork
372,NewYork
373,NewYork
374,NewYork
375,NewYork
376,NewYork
377,NewYork
378,NewYork
379,NewYork
380,NewYork
381,NewYork
382,NewYork
383,NewYork
384,NewYork
385,NewYork
386,NewYork
387,NewYork
388,NewYork
389,NewYork
390,NewYork
391,NewYork
392,NewYork
393,NewYork
394,NewYork
395,NewYork
396,NewYork
397,NewYork
398,NewYork
399,NewYork
400,NewYork
401,NewYork
402,NewYork
403,NewYork
404,NewYork
405,NewYork
406,NewYork
407,NewYork
408,NewYork
409,NewYork
410,NewYork
411,NewYork
412,NewYork
413,NewYork
414,NewYork
415,NewYork
416,NewYork
417,NewYork
418,NewYork
419,NewYork
420,NewYork
421,NewYork
422,NewYork
534,NewYork
535,NewYork
536,NewYork
537,NewYork
538,NewYork
539,NewYork
540,NewYork
541,NewYork
542,NewYork
543,NewYork
544,NewYork
545,NewYork
546,NewYork
547,NewYork
548,NewYork
549,NewYork
550,NewYork
551,NewYork
552,NewYork
553,NewYork
554,NewYork
555,NewYork
556,NewYork
557,NewYork
558,NewYork
559,NewYork
560,NewYork
561,NewYork
562,NewYork
563,NewYork
564,NewYork
723,NewYork
724,NewYork
725,NewYork
726,NewYork
727,NewYork
728,NewYork
729,NewYork
730,NewYork
731,NewYork
732,NewYork
733,NewYork
734,NewYork
735,NewYork
736,NewYork
737,NewYork
738,NewYork
739,NewYork
740,NewYork
741,NewYork
742,NewYork
743,NewYork
744,NewYork
